VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-014/C,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-in,"M009-014/C,M009-014/B,M009-014/A",AKS
M009-015/A,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-out,"M009-015/A,M009-015/B,M009-015/C",WHV2
M009-015/A,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-in,"M009-015/C,M009-015/B,M009-015/A",WHV2
M009-015/B,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-out,"M009-015/A,M009-015/B,M009-015/C",WHV2
M009-015/B,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-in,"M009-015/C,M009-015/B,M009-015/A",WHV2
M009-015/C,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-out,"M009-015/A,M009-015/B,M009-015/C",WHV2
M009-015/C,RemWhv,7:22;30,17:17;15,RemWhv,325.11,MBOB,Pull-in,"M009-015/C,M009-015/B,M009-015/A",WHV2
M009-016/A,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-out,"M009-016/A,M009-016/B,M009-016/C",WHV1
M009-016/A,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-in,"M009-016/A,M009-016/B,M009-016/C",WHV2
M009-016/B,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-out,"M009-016/A,M009-016/B,M009-016/C",WHV1
M009-016/B,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-in,"M009-016/A,M009-016/B,M009-016/C",WHV2
M009-016/C,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-out,"M009-016/A,M009-016/B,M009-016/C",WHV1
M009-016/C,RemWhv,14:46;45,17:27;15,RemWhv,85.462,MBOB,Pull-in,"M009-016/A,M009-016/B,M009-016/C",WHV2
M009-017/A,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-out,"M009-017/A,M009-017/B,M009-017/C",WHV1
M009-017/A,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-in,"M009-017/A,M009-017/B,M009-017/C",WHV2
M009-017/B,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-out,"M009-017/A,M009-017/B,M009-017/C",WHV1
M009-017/B,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-in,"M009-017/A,M009-017/B,M009-017/C",WHV2
M009-017/C,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-out,"M009-017/A,M009-017/B,M009-017/C",WHV1
M009-017/C,RemWhv,14:56;45,17:37;15,RemWhv,85.462,MBOB,Pull-in,"M009-017/A,M009-017/B,M009-017/C",WHV2
M009-018/A,RemWhv,15:06;45,24:45;15,AksP13,288.539,MBOB,Pull-out,"M009-018/A,M009-018/B,M009-018/C",WHV1
M009-018/A,RemWhv,15:06;45,24:45;15,AksP13,288.539,MBOB,Pull-in,"M009-018/C,M009-018/B,M009-018/A",WHV1
M009-018/B,RemWhv,15:06;45,24:45;15,AksP13,288.539,MBOB,Pull-out,"M009-018/A,M009-018/B,M009-018/C",WHV1
M009-018/B,RemWhv,15:06;45,24:45;15,AksP13,288.539,MBOB,Pull-in,"M009-018/C,M009-018/B,M009-018/A",WHV1
M009-018/C,RemWhv,15:06;45,24:45;15,AksP13,288.539,MBOB,Pull-out,"M009-018/A,M009-018/B,M009-018/C",WHV1
