VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-005/A,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/A,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-005/B,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/B,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-005/C,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",WHV1
M009-005/C,RemWhv,8:04;30,20:14;45,AksP13,345.475,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",WHV1
M009-006/A,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",AKS
M009-006/A,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-in,"M009-006/C,M009-006/B,M009-006/A",AKS
M009-006/B,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",AKS
M009-006/B,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-in,"M009-006/C,M009-006/B,M009-006/A",AKS
M009-006/C,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",AKS
M009-006/C,AksP13,8:10;30,18:17,RemWhv,288.395,MBOB,Pull-in,"M009-006/C,M009-006/B,M009-006/A",AKS
M009-007/A,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-007/A,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-007/B,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-007/B,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-007/C,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-007/C,RemWhv,11:00;15,21:28;15,RemWhv,299.277,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-008/A,RemWhv,11:15;15,24:44;45,RemWhv,384.833,MSG3,Pull-out,"M009-008/A,M009-008/B",WHV1
M009-008/A,RemWhv,11:15;15,24:44;45,RemWhv,384.833,MSG3,Pull-in,"M009-008/A,M009-004/B",WHV2
M009-008/B,RemWhv,11:15;15,25:14;45,RemWhv,385.573,MSG3,Pull-out,"M009-008/A,M009-008/B",WHV1
M009-008/B,RemWhv,11:15;15,25:14;45,RemWhv,385.573,MSG3,Pull-in,"M009-003/B,M009-008/B",WHV2
M010-031/A,RemWhv,6:52;30,24:35;45,RemWhv,621.99,MRSG,Pull-out,"M010-031/A,M010-031/B",WHV1
M010-031/A,RemWhv,6:52;30,24:35;45,RemWhv,621.99,MRSG,Pull-in,M010-031/A,WHV1
M010-031/B,RemWhv,6:52;30,24:50;45,RemWhv,621.99,MRSG,Pull-out,"M010-031/A,M010-031/B",WHV1
M010-031/B,RemWhv,6:52;30,24:50;45,RemWhv,621.99,MRSG,Pull-in,M010-031/B,WHV1
M010-032/A,RemWhv,7:02;30,19:35;45,RemWhv,437.769,MRSG,Pull-out,"M010-032/A,M010-032/B",WHV1
M010-032/A,RemWhv,7:02;30,19:35;45,RemWhv,437.769,MRSG,Pull-in,"M010-032/B,M010-032/A",WHV1
M010-032/B,RemWhv,7:02;30,19:35;45,RemWhv,437.769,MRSG,Pull-out,"M010-032/A,M010-032/B",WHV1
M010-032/B,RemWhv,7:02;30,19:35;45,RemWhv,437.769,MRSG,Pull-in,"M010-032/B,M010-032/A",WHV1
M010-033/A,RemWhv,7:17;30,25:05;45,RemWhv,621.99,MRSG,Pull-out,"M010-033/A,M010-033/B",WHV1
M010-033/A,RemWhv,7:17;30,25:05;45,RemWhv,621.99,MRSG,Pull-in,M010-033/A,WHV1
M010-033/B,RemWhv,7:17;30,25:20;45,RemWhv,621.99,MRSG,Pull-out,"M010-033/A,M010-033/B",WHV1
M010-033/B,RemWhv,7:17;30,25:20;45,RemWhv,621.99,MRSG,Pull-in,M010-033/B,WHV1
M010-034/A,RemWhv,7:32;30,20:05;45,RemWhv,437.189,MRSG,Pull-out,"M010-034/A,M010-034/B",WHV1
M010-034/A,RemWhv,7:32;30,20:05;45,RemWhv,437.189,MRSG,Pull-in,"M010-034/B,M010-034/A",WHV1
M010-034/B,RemWhv,7:32;30,20:05;45,RemWhv,437.189,MRSG,Pull-out,"M010-034/A,M010-034/B",WHV1
M010-034/B,RemWhv,7:32;30,20:05;45,RemWhv,437.189,MRSG,Pull-in,"M010-034/B,M010-034/A",WHV1
M010-035/A,RemWhv,7:47;30,25:14;15,RemWhv,608.673,MRSG,Pull-out,"M010-035/A,M010-035/B",WHV1
M010-035/A,RemWhv,7:47;30,25:14;15,RemWhv,608.673,MRSG,Pull-in,M010-035/A,WHV1
M010-035/B,RemWhv,7:47;30,25:54;30,RemWhv,608.673,MRSG,Pull-out,"M010-035/A,M010-035/B",WHV1
M010-035/B,RemWhv,7:47;30,25:54;30,RemWhv,608.673,MRSG,Pull-in,M010-035/B,WHV1
M010-036/A,RemWhv,8:02;30,20:35;45,RemWhv,437.769,MRSG,Pull-out,"M010-036/A,M010-036/B",WHV1
M010-036/A,RemWhv,8:02;30,20:35;45,RemWhv,437.769,MRSG,Pull-in,"M010-036/B,M010-036/A",WHV1
M010-036/B,RemWhv,8:02;30,20:35;45,RemWhv,437.769,MRSG,Pull-out,"M010-036/A,M010-036/B",WHV1
M010-036/B,RemWhv,8:02;30,20:35;45,RemWhv,437.769,MRSG,Pull-in,"M010-036/B,M010-036/A",WHV1
M010-037/A,RemWhv,8:17;30,24:21,RemWhv,560.583,MRSG,Pull-out,"M010-037/A,M010-037/B",WHV1
M010-037/A,RemWhv,8:17;30,24:21,RemWhv,560.583,MRSG,Pull-in,M010-037/A,WHV1
M010-037/B,RemWhv,8:17;30,20:52;45,RemWhv,437.769,MRSG,Pull-out,"M010-037/A,M010-037/B",WHV1
M010-037/B,RemWhv,8:17;30,20:52;45,RemWhv,437.769,MRSG,Pull-in,M010-037/B,WHV1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
