VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-006/A,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/A,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
M009-006/B,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/B,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
M009-006/C,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/C,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
M009-007/A,RemWhv,6:32;30,9:16,RemWhv,88.358,MSG3,Pull-out,"M009-007/A,M009-007/B",WHV2
M009-007/A,RemWhv,6:32;30,9:16,RemWhv,88.358,MSG3,Pull-in,"M009-007/A,M009-007/B",WHV1
M009-007/B,RemWhv,6:32;30,9:16,RemWhv,88.358,MSG3,Pull-out,"M009-007/A,M009-007/B",WHV2
M009-007/B,RemWhv,6:32;30,9:16,RemWhv,88.358,MSG3,Pull-in,"M009-007/A,M009-007/B",WHV1
M009-008/A,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",WHV1
M009-008/A,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-in,"M009-008/C,M009-008/B,M009-008/A",WHV1
M009-008/B,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",WHV1
M009-008/B,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-in,"M009-008/C,M009-008/B,M009-008/A",WHV1
M009-008/C,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",WHV1
M009-008/C,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MBOB,Pull-in,"M009-008/C,M009-008/B,M009-008/A",WHV1
M009-009/A,RemWhv,6:47,19:10,RemWhv,410.68,MBOB,Pull-out,"M009-009/A,M009-009/B,M009-009/C",WHV2
M009-009/A,RemWhv,6:47,19:10,RemWhv,410.68,MBOB,Pull-in,"M009-009/C,M009-009/B,M009-009/A",WHV2
M009-009/B,RemWhv,6:47,19:10,RemWhv,410.68,MBOB,Pull-out,"M009-009/A,M009-009/B,M009-009/C",WHV2
M009-009/B,RemWhv,6:47,19:10,RemWhv,410.68,MBOB,Pull-in,"M009-009/C,M009-009/B,M009-009/A",WHV2
